yyyy.mm.dd,hh.mm.ss.ss,lat,lon,depth,ML,locality,county,geometry
14/02/2017, 23:00:06.0,51.88,-4.593,8.1,1.4, LLANBOIDY,CARMARTHS,POINT (-841945.0278204784 5931362.79793332)
01/05/1993, 18:36:21.4,51.877,-4.543,7.1,1.3, MEIDRIM,DYFED,POINT (-838648.8870565388 5930086.833605897)
30/10/1998, 05:27:50.7,51.827,-4.491,11.8,1.8, ST CLEARS,DYFED,POINT (-836649.0642300108 5923628.985169684)
11/05/2012, 18:17:14.2,51.852,-4.416,5.0,1.8, CARMARTHEN,DYFED,POINT (-830800.8037684208 5924953.629575542)
10/01/2019, 00:42:21.6,51.804,-4.456,4.6,0.9, ST CLEARS,CARMARTHS,POINT (-834973.5966859513 5920449.848726102)
09/04/2023, 14:39:54.7,51.857,-4.436,5.9,1.8, MEIDRIM,CARMARTH,POINT (-832005.2482304131 5925877.425277982)
