yyyy.mm.dd,hh.mm.ss.ss,lat,lon,depth,ML,locality,county,geometry
22/09/2013, 23:06:02.1,51.763,-4.252,2.7,1.4, LLANNON,CARMARTHENSHIRE,POINT (-822353.1525129355 5912133.196187464)
11/05/2012, 18:17:14.2,51.852,-4.416,5.0,1.8, CARMARTHEN,DYFED,POINT (-830800.8037684208 5924953.629575542)
09/04/2023, 14:39:54.7,51.857,-4.436,5.9,1.8, MEIDRIM,CARMARTH,POINT (-832005.2482304131 5925877.425277982)
21/04/1996, 18:28:50.4,51.897,-4.202,8.6,2.2, CARMARTHEN,DYFED,POINT (-814933.3256177162 5925883.217518245)
