yyyy.mm.dd,hh.mm.ss.ss,lat,lon,depth,ML,Nsta,RMS,intensity,induced,locality,county
07/12/1995, 14:16:52.2,51.772,-4.173,1.2601099027661002,-0.08310731683764737,,, ,, LLANELLI,DYFED
18/11/1996, 00:03:56.4,51.766,-3.838,-0.30647548327663054,-0.9962084862486856,,, ,, GLANAMAN,DYFED
19/11/1997, 13:12:56.4,51.699,-4.243,2.38436529745559,0.06907621139752544,,, ,, BURRY PORT,DYFED
23/11/1998, 13:43:34.8,51.701,-3.066,1.444414065829951,0.5256267961030445,,, ,, PONTYPOOL,GWENT
07/12/1998, 10:50:58.2,51.673,-3.2,0.09899367546384101,-0.38747437330799367,,, ,, BLACKWOOD,GWENT
25/12/1998, 08:49:44.1,51.809,-3.983,2.1447698854725834,-0.23529084507282053,,, ,, AMMANFORD,DYFED
03/03/1999, 23:02:44.2,51.73,-3.259,-1.264857131208654,-0.9962084862486856,,, ,, NEW TREDEGAR,MID GLAM
08/03/1999, 01:19:51.2,51.711,-3.304,-0.9146792213873378,-0.8440249580135124,,, ,, BEDLINOG,MID GLAMORGAN
18/03/1999, 02:38:22.1,51.714,-3.296,-0.9699704703064931,-0.8440249580135124,,, ,, BEDLINOG,MID GLAMORGAN
09/07/1999, 14:31:11.9,51.697,-3.219,-0.9331096376937228,0.3734432678678714,,,3,, BARGOED,MID GLAMORGAN
30/07/1999, 09:31:12.3,51.689,-3.201,-0.14060173651916485,1.590911493749256,,, ,, BARGOED,MID GLAMORGAN
30/07/1999, 22:43:17.8,51.691,-3.188,-0.12217132021277985,-0.5396579015431665,,, ,, BARGOED,MID GLAMORGAN
31/07/1999, 07:33:48.5,51.695,-3.212,0.025272010238300672,-0.8440249580135124,,, ,, BARGOED,MID GLAMORGAN
13/08/1999, 05:28:58.6,51.689,-3.215,0.04370242654468584,0.6778103243382176,,, ,, BARGOED,MID GLAMORGAN
20/01/2000, 14:10:51.0,51.614,-3.625,0.7809190788000886,0.2212597396326986,,, ,, MAESTEG,MID GLAMORGAN
22/03/2000, 01:35:09.1,51.684,-3.23,-1.1358442170639587,-0.38747437330799367,,, ,, BARGOED,MID GLAMORGAN
21/04/2001, 14:35:54.2,51.594,-3.301,1.794591975651267,0.3734432678678714,,, ,, PONTYPRIDD,GWENT
09/05/2001, 23:31:17.4,51.752,-3.735,2.550239044213055,-0.6918414297783396,,, ,, YSTRADGYNLAIS,POWYS
16/09/2001, 02:44:31.4,51.742,-4.134,1.167957821234175,0.2212597396326986,,, ,, LLANELLI,DYFED
10/10/2001, 02:52:25.3,51.698,-3.255,-0.12217132021277985,2.199645606689948,,,4,, BARGOED,MID GLAMORGAN
10/10/2001, 05:01:48.0,51.7,-3.253,-0.3433363158894007,-0.08310731683764737,,, ,, BARGOED,MID GLAMORGAN
18/10/2001, 03:50:13.6,51.703,-3.255,0.13585450807661117,1.2865444372789097,,,4,, BARGOED,MID GLAMORGAN
22/10/2001, 15:16:48.3,51.702,-3.254,0.08056325915745584,-0.08310731683764737,,, ,, BARGOED,MID GLAMORGAN
28/01/2002, 00:30:09.2,51.702,-3.258,-0.38019714850217085,0.06907621139752544,,, ,, BARGOED,MID GLAMORGAN
28/01/2002, 00:30:14.8,51.7,-3.257,-0.15903215282555003,1.2865444372789097,,, ,, BARGOED,MID GLAMORGAN
12/02/2002, 19:13:16.2,51.701,-3.256,-0.3617667321957857,2.0474620784547746,11.0,0.1,4,, BARGOED,MID GLAMORGAN
17/02/2002, 15:44:06.7,51.706,-3.261,-0.8778183887745677,0.5256267961030445,10.0,0.1, ,, BARGOED,MID GLAMORGAN
24/02/2002, 23:18:35.4,51.7,-3.272,-0.730375058323487,0.06907621139752544,9.0,0.1, ,, BARGOED,MID GLAMORGAN
16/03/2002, 05:07:14.7,51.702,-3.266,-0.9146792213873378,-0.38747437330799367,7.0,0.1, ,, BARGOED,MID GLAMORGAN
18/09/2002, 05:20:10.3,51.713,-3.588,-1.0436921355320332,0.6778103243382176,11.0,0.2, ,, GLYN-NEATH,W GLAMORGAN
21/01/2003, 01:40:55.8,51.671,-3.058,0.4123107526723872,-0.08310731683764737,7.0,0.1, ,, PONTYPOOL,GWENT
23/01/2003, 17:34:31.7,51.716,-3.336,0.5781844994298528,-0.23529084507282053,8.0,0.1, ,, MERTHYR TYDFIL,M GLAMO
25/01/2003, 19:20:59.4,51.669,-3.052,-0.730375058323487,-0.23529084507282053,10.0,0.1, ,, PONTYPOOL,GWENT
17/03/2003, 10:24:14.2,51.653,-3.06,-0.3986275648085559,-0.8440249580135124,7.0,0.1, ,, CWMBRAN,GWENT
14/04/2003, 14:35:48.3,51.698,-3.246,-0.9331096376937228,-0.38747437330799367,5.0,0.0, ,, BARGOED,MID GLAMORGAN
12/12/2003, 02:39:40.5,51.692,-3.035,1.4997053147491062,-0.8440249580135124,8.0,0.1, ,, PONTYPOOL,GWENT
07/03/2004, 05:26:53.0,51.669,-3.096,-1.1727050496767288,-0.5396579015431665,9.0,0.0, ,, NEWBRIDGE,GWENT
01/08/2005, 21:11:56.2,51.704,-3.173,-0.9515400540001079,-0.6918414297783396,8.0,0.1, ,, BLACKWOOD,GWENT
23/03/2006, 18:56:29.2,51.752,-3.076,1.3154011516852557,0.2212597396326986,12.0,0.2, ,, ABERTILLERY,GWENT
30/06/2007, 01:49:18.6,51.728,-3.419,0.06213284285107084,-0.5396579015431665,10.0,0.3, ,, ABERDARE,MID GLAMORGAN
16/06/2008, 01:10:14.2,51.598,-3.639,-0.3617667321957857,-0.23529084507282053,6.0,0.3, ,, MAESTEG,BRIDGEND
05/06/2009, 19:42:07.1,51.623,-3.645,-0.6566533930979468,1.8952785502196015,22.0,0.5,3,, MAESTEG,BRIDGEND
06/10/2009, 05:05:55.4,51.773,-4.101,0.8362103277192436,1.2865444372789097,18.0,0.5, ,, LLANNON,CARMARTHENSHIRE
02/12/2009, 17:52:59.2,51.697,-3.237,0.24643700591492151,0.6778103243382176,12.0,0.3, ,, BARGOED,CAERPHILLY
15/12/2009, 15:25:26.3,51.709,-4.085,0.1911457569957662,-0.08310731683764737,11.0,0.3, ,, LLANELLI,CARMARTHNSHIRE
12/09/2010, 05:14:56.1,51.711,-3.397,0.48603241789792756,-0.5396579015431665,6.0,0.1, ,, ABERDARE,MID GLAMORGAN
17/01/2011, 14:28:11.2,51.595,-3.589,0.5413236668170825,0.2212597396326986,10.0,0.2, ,, MAESTEG,BRIDGEND
11/10/2011, 15:32:17.2,51.798,-3.146,2.236921967004509,-0.38747437330799367,9.0,0.1, ,, BRYNMAWR,GWENT
15/11/2011, 16:05:54.4,51.616,-3.581,0.3938803363660022,-0.23529084507282053,10.0,0.3,2,, MAESTEG,BRIDGEND
16/01/2012, 12:11:50.2,51.668,-3.225,-0.38019714850217085,-0.9962084862486856,4.0,0.1, ,, BARGOED,CAERPHILLY
19/04/2012, 07:41:31.7,51.62,-3.602,0.15428492438299618,-0.6918414297783396,8.0,0.2, ,, MAESTEG,BRIDGEND
15/05/2012, 06:41:44.8,51.808,-3.205,0.7993494951064736,1.2865444372789097,13.0,0.4, ,, RASSAU,BLAENAU GWENT
08/02/2013, 18:04:22.7,51.681,-3.664,-0.7488054746298721,-0.8440249580135124,6.0,0.4, ,, MAESTEG,BRIDGEND
07/04/2013, 08:08:12.1,51.691,-3.766,0.37544992005961686,-0.6918414297783396,6.0,0.3, ,, NEATH,NEATH PORT TALBOT
22/09/2013, 23:06:02.1,51.763,-4.252,-0.8225271398554124,-0.38747437330799367,4.0,0.1, ,, LLANNON,CARMARTHENSHIRE
08/11/2014, 06:00:56.1,51.693,-3.073,-1.006831302919263,0.3734432678678714,12.0,0.3, ,, PONTYPOOL,TORFAEN
04/12/2014, 16:07:06.5,51.666,-3.114,-0.19589298543832018,0.3734432678678714,7.0,0.1,2,, NEWBRIDGE,CAERPHILLY
25/02/2015, 10:41:24.9,51.636,-3.594,-0.43548839742132606,0.5256267961030445,12.0,0.3,3,, BLAENGARW,BRIDGEND
12/06/2015, 09:38:35.7,51.714,-4.159,-0.21432340174470518,0.2212597396326986,7.0,0.3, ,, LLANELLI,CARMARTHS
02/08/2015, 03:42:27.7,51.729,-4.019,0.06213284285107084,-0.5396579015431665,10.0,0.3, ,, PONTARDDULAIS,SWANSEA
05/10/2015, 02:53:38.4,51.663,-3.163,-0.9146792213873378,-0.9962084862486856,5.0,0.2, ,, NEWBRIDGE,CAERPHILLY
05/10/2015, 03:44:59.1,51.66,-3.16,-0.8040967235490274,-0.38747437330799367,8.0,0.2, ,, NEWBRIDGE,CAERPHILLY
13/12/2015, 01:39:23.4,51.655,-3.167,0.33858908744684685,-0.5396579015431665,7.0,0.3, ,, BLACKWOOD,CAERPHILLY
13/12/2015, 05:28:18.8,51.651,-3.209,-0.3986275648085559,1.1343609090437365,12.0,0.3, ,, BLACKWOOD,CAERPHILLY
27/12/2015, 14:33:52.7,51.666,-3.179,0.7440582461873182,0.2212597396326986,9.0,0.3, ,, BLACKWOOD,CAERPHILLY
27/12/2015, 21:54:49.0,51.661,-3.183,0.33858908744684685,0.2212597396326986,9.0,0.2, ,, BLACKWOOD,CAERPHILLY
28/12/2015, 22:11:12.9,51.663,-3.174,0.6334757483490079,-0.08310731683764737,6.0,0.6, ,, BLACKWOOD,CAERPHILLY
30/12/2015, 01:03:52.1,51.662,-3.157,0.7809190788000886,0.3734432678678714,7.0,0.4,2,, BLACKWOOD,CAERPHILLY
01/01/2016, 22:32:21.3,51.664,-3.162,0.13585450807661117,-0.6918414297783396,6.0,0.5, ,, NEWBRIDGE,CAERPHILLY
29/10/2016, 02:02:35.0,51.674,-3.718,0.33858908744684685,-0.9962084862486856,8.0,0.2, ,, NEATH,NEATH PORT TALBOT
10/12/2016, 01:22:17.7,51.796,-4.03,0.854640744025629,0.3734432678678714,8.0,0.3, ,, SARON,CARMARTHENSHIRE
21/01/2017, 21:57:56.8,51.701,-3.174,2.8635561214216008,-0.8440249580135124,4.0,0.0, ,, BARGOED,CAERPHILLY
11/07/2017, 04:35:55.2,51.581,-3.2,1.0020840744767092,-0.8440249580135124,7.0,0.2, ,, BEDWAS,CAERPHILLY
16/07/2017, 10:28:48.7,51.695,-3.23,0.06213284285107084,0.6778103243382176,12.0,0.2, ,, BARGOED,CAERPHILLY
17/02/2018, 14:31:07.6,51.767,-3.833,0.06213284285107084,4.482398530217542,42.0,0.5,5,, CWMLLYNFELL,NPT
17/02/2018, 14:35:21.0,51.76,-3.821,0.06213284285107084,0.2212597396326986,8.0,0.3, ,, CWMLLYNFELL,NPT
17/02/2018, 15:09:35.5,51.749,-3.824,0.11742409177022602,-0.6918414297783396,6.0,0.2, ,, CWMLLYNFELL,NPT
17/02/2018, 16:27:06.6,51.767,-3.828,0.11742409177022602,-0.23529084507282053,6.0,0.1, ,, CWMLLYNFELL,NPT
17/02/2018, 23:17:32.7,51.759,-3.819,0.11742409177022602,0.8299938525733909,16.0,0.4, ,, CWMLLYNFELL,NPT
18/02/2018, 11:00:33.8,51.76,-3.825,0.09899367546384101,-0.08310731683764737,11.0,0.4, ,, CWMLLYNFELL,NPT
12/10/2018, 14:21:25.4,51.658,-3.118,-0.06688007129362467,1.1343609090437365,11.0,0.3, ,, NEWBRIDGE,CAERPHILLY
01/01/2020, 17:28:35.5,51.603,-3.515,-0.2880450669702455,-0.23529084507282053,9.0,0.4, ,, OGMORE VALE,BRIDGEND
05/01/2020, 16:57:55.7,51.597,-3.513,-0.26961465066386037,-0.23529084507282053,10.0,0.4, ,, OGMORE VALE,BRIDGEND
06/01/2020, 02:35:08.7,51.602,-3.523,-0.43548839742132606,0.2212597396326986,10.0,0.4, ,, OGMORE VALE,BRIDGEND
05/05/2020, 04:35:26.2,51.666,-3.219,-0.6013621441787916,-0.5396579015431665,4.0,0.1, ,, BLACKWOOD,CAERPHILLY
13/05/2020, 09:24:06.4,51.666,-3.224,-0.6566533930979468,-0.8440249580135124,4.0,0.1, ,, BLACKWOOD,CAERPHILLY
14/05/2020, 23:55:55.4,51.757,-3.923,0.5413236668170825,-0.9962084862486856,9.0,0.3, ,, GARNSWLLT,SWANSEA
08/08/2020, 11:09:41.7,51.592,-3.405,-0.9331096376937228,-0.9962084862486856,5.0,0.2, ,, TONYREFAIL,RHONDDA CT
30/08/2020, 18:10:19.9,51.593,-3.421,-0.8593879724681825,-0.5396579015431665,10.0,0.3,3,, TONYREFAIL,RHONDDA CT
06/09/2020, 10:44:11.8,51.593,-3.412,-0.9146792213873378,-0.38747437330799367,9.0,0.2, ,, TONYREFAIL,RHONDDA CT
18/01/2021, 06:40:07.9,51.591,-3.431,-0.7856663072426424,-0.23529084507282053,7.0,0.2,3,, TONYREFAIL,RHONDDA CT
21/01/2022, 23:45:47.1,51.722,-3.313,1.462844482136336,-0.9962084862486856,8.0,0.1, ,, BEDLINOG,MERTHYR TYDFIL
07/12/2022, 00:16:46.8,51.692,-4.168,0.9652232418639393,-0.8440249580135124,5.0,0.1, ,, LLANELLI,DYFED
20/01/2023, 06:53:50.7,51.814,-4.024,-0.30647548327663054,-0.8440249580135124,9.0,0.2, ,, LLANDYBIE,CARMARTH
