yyyy.mm.dd,hh.mm.ss.ss,lat,lon,depth,ML,locality,county,geometry
28/03/1991, 01:50:59.2,51.469,-3.515,12.6,2.1, BRISTOL CHANNEL,,POINT (-780684.3899977556 5866400.545513499)
10/05/2003, 02:03:07.3,51.477,-3.522,7.0,1.4, COWBRIDGE,SOUTH GLAM,POINT (-780934.0853474413 5867404.318434951)
22/12/2021, 06:50:09.8,51.47,-3.449,9.5,1.2, COWBRIDGE,GLAMORGAN,POINT (-776131.2262478396 5865327.156989156)
24/07/1989, 12:05:17.3,51.472,-3.399,7.7,1.4, YSTRADOWEN,S GLAMORGAN,POINT (-772646.1913341379 5864653.321640851)
