yyyy.mm.dd,hh.mm.ss.ss,lat,lon,depth,ML,locality,county,geometry
22/08/1991, 18:37:33.8,51.895,-4.178,4.8,1.7, CARMARTHEN,DYFED,POINT (-813366.6856071239 5925218.571095954)
21/04/1996, 18:28:50.4,51.897,-4.202,8.6,2.2, CARMARTHEN,DYFED,POINT (-814933.3256177162 5925883.217518245)
08/05/2013, 00:58:42.9,51.915,-4.133,12.9,0.9, BRECHFA,CARMARTHENSHIRE,POINT (-809718.120815743 5926575.972904393)
15/07/2021, 19:44:09.4,51.897,-4.171,7.5,0.9, FELINGWMUCHAF,CARMARTHS,POINT (-812832.2698624062 5925307.841660514)
26/12/2015, 22:11:10.7,51.908,-4.088,7.4,1.1, LLANFYNDD,CARMS,POINT (-806878.0332460636 5924977.379698037)
