yyyy.mm.dd,hh.mm.ss.ss,lat,lon,depth,ML,locality,county,geometry
17/09/2013, 03:22:19.9,51.866,-5.03,10.3,1.0, ROCH,PEMBROKESHIRE,POINT (-871981.0477139221 5938220.534469626)
10/01/1985, 12:46:49.6,51.868,-4.973,0.7,1.3, NR HAVERFORDWEST,DYFED,POINT (-868058.0921265492 5937333.931838831)
10/07/1993, 17:21:27.9,51.863,-4.915,12.1,1.6, HAVERFORDWEST,DYFED,POINT (-864285.6509255008 5935665.474669154)
29/07/2005, 19:12:58.7,51.855,-4.912,4.4,1.6, HAVERFORDWEST,DYFED,POINT (-864331.8290628938 5934732.231539056)
28/04/2014, 03:44:06.5,51.845,-4.784,14.1,1.7, WISTON,PEMBROKESHIRE,POINT (-855967.6998791562 5931175.159478059)
