yyyy.mm.dd,hh.mm.ss.ss,lat,lon,depth,ML,Nsta,RMS,intensity,induced,locality,county
25/02/1986, 08:58:45.9,51.803,-3.607,-1.1285311262075168,-0.8531250418239738,3.0,0.1, ,, KNIGHTON,POWYS
21/03/1986, 16:28:24.9,51.768,-2.665,1.6029176103470557,-0.1580237570025343,3.0,0.0, ,, NR MONMOUTH,GWENT
02/05/1986, 20:03:21.2,51.976,-2.845,0.7526611942989397,-0.8531250418239738,4.0,0.0, ,, NR HEREFORD,HER & WOR
27/06/1986, 12:00:09.4,51.775,-2.657,1.3265842751314183,-0.1580237570025343,3.0,0.1, ,, NR MONMOUTH,GWENT
19/07/1986, 15:37:18.6,51.701,-3.282,0.5826099110893168,-1.0269003630293339,4.0,0.2, ,, MERTHYR VALE,MID GLAM
28/07/1986, 14:03:39.2,52.095,-2.88,0.2425073446700703,-0.8531250418239738,4.0,0.3, ,, W OF HEREFORD,HER&WOR
23/08/1986, 12:28:29.0,51.882,-3.742,-0.33141573616240805,-0.505574399413254,9.0,0.2, ,, BLACK MOUNTAIN,DYFED
04/09/1986, 13:09:46.4,51.861,-3.944,-1.1285311262075168,-0.505574399413254,4.0,0.1, ,, NR LLANDEILO,DYFED
19/09/1986, 20:57:17.5,51.617,-3.344,0.46569965388270074,-1.0269003630293339,4.0,0.1, ,, PONTYPRIDD,M GLAMORGAN
22/09/1986, 02:50:18.3,51.581,-3.341,-0.46958240377022686,-0.8531250418239738,5.0,0.2, ,, PONTYPRIDD,M GLAMORGAN
03/10/1986, 15:03:53.9,51.917,-2.762,0.16810990826586003,0.015751564202825776,7.0,0.2, ,, GARWAY,HEREFORD & WOR
17/10/1986, 10:35:34.0,52.083,-3.419,0.8695714515055559,0.3633022066135455,13.0,0.2, ,, NR BUILTH WELLS,POWYS
16/01/1987, 11:13:45.6,51.823,-3.601,2.4744304367963745,-1.0269003630293339,5.0,0.0, ,, YSTRADFELLTE,POWYS
07/05/1987, 02:08:37.1,52.172,-2.681,0.6463791422929253,-0.8531250418239738,7.0,0.1, ,, LEOMINSTER,HEREFORD
30/05/1987, 13:02:26.8,52.028,-3.77,0.4763278590833021,-0.505574399413254,17.0,0.4, ,, S.LLANDOVERY,POWYS
08/06/1987, 01:14:03.6,52.185,-3.539,0.5294688850863094,0.015751564202825776,7.0,0.0, ,, BUILTH,POWYS
16/12/1987, 23:15:56.4,52.045,-3.515,-0.3420439413630095,-0.505574399413254,14.0,0.2, ,, NW OF BRECON,POWYS
26/02/1988, 06:54:19.9,51.911,-3.159,0.7739176047001426,-0.8531250418239738,5.0,0.2, ,, BRECON,POWYS
