yyyy.mm.dd,hh.mm.ss.ss,lat,lon,depth,ML,locality,county,geometry
04/09/1986, 13:09:46.4,51.861,-3.944,0.0,1.3, NR LLANDEILO,DYFED,POINT (-798509.1856438769 5917178.500747452)
08/05/2013, 00:58:42.9,51.915,-4.133,12.9,0.9, BRECHFA,CARMARTHENSHIRE,POINT (-809718.120815743 5926575.972904393)
08/04/1989, 16:54:09.8,51.826,-4.091,4.6,1.1, LLANELLI,DYFED,POINT (-809527.761441025 5916047.45724018)
25/12/1998, 08:49:44.1,51.809,-3.983,18.8,1.5, AMMANFORD,DYFED,POINT (-802697.4030363795 5912194.460730133)
26/12/2015, 22:11:10.7,51.908,-4.088,7.4,1.1, LLANFYNDD,CARMS,POINT (-806878.0332460636 5924977.379698037)
10/12/2016, 01:22:17.7,51.796,-4.03,11.8,1.9, SARON,CARMARTHENSHIRE,POINT (-806276.8841721127 5911634.234547089)
20/01/2023, 06:53:50.7,51.814,-4.024,5.5,1.1, LLANDYBIE,CARMARTH,POINT (-805334.4729217442 5913496.54678827)
