yyyy-mm-dd,hh:mm:ss.ss,lat,lon,depth,ML,Nsta,RMS,intensity,induced,locality,county,
19/05/1999, 23:41:27.2,52.96,-4.408,24.6,0.1, , , , , LLEYN PENIN,GWYNEDD,
03/03/2005, 08:31:52.5,53.123,-4.406,13.8,0.1,6,0.1, , , CAERNARFON BAY,,
11/05/2016, 02:52:03.1,52.888,-3.859,12.5,0.1,6,0.1, , , TRAWSFYNYDD,GWYNEDD,
25/02/2023, 03:14:14.4,51.838,-3.246,5.2,0.1,2,0, , , BRYNMAWR,GWENT,
01/03/2023, 06:10:50.8,51.838,-3.246,5.2,0.1,2,0.1, , , BRYNMAWR,GWENT,
02/03/2023, 21:44:41.9,51.838,-3.246,5.2,0.1,3,0.4, , , BRYNMAWR,GWENT,
24/09/1986, 02:29:31.6,52.899,-3.498,8.4,0.2,7,0.2, , , E OF LAKE BALA,GWYNEDD,
04/12/1986, 10:39:57.4,53.003,-4.418,20.1,0.2,4,0.1, , , LLEYN AFTERSHOCK,,
13/01/1987, 14:34:30.6,52.232,-3.385,26.4,0.2,6,0.2, , , LLANDRINDOD,POWYS,
23/02/1987, 08:51:00.5,52.94,-3.934,15.1,0.2,10,0.4, , , L.TRAWSFYNYDD,GWYNEDD,
22/08/1987, 18:31:13.8,52.987,-4.415,18.2,0.2,5,0.1, , , LLEYN AFTERSHOCK,,
10/02/1989, 12:39:18.7,52.821,-3.661,16.9,0.2,5,0.1, , , LAKE BALA,GWYNEDD,
27/02/1989, 07:48:39.4,52.867,-3.401,13.8,0.2,5,0.1, , , LAKE BALA,GWYNEDD,
27/07/1989, 11:53:29.4,52.071,-3.227,24.8,0.2,3,0, , , KINGTON,HER & WORC,
27/07/1990, 02:12:34.4,52.443,-3.031,15.9,0.2,10,0.1, , , BISHOP'S CASTLE,SHROPS,
12/11/1990, 05:11:30.5,52.836,-3.564,12.5,0.2,6,0.2, , , LAKE VRYNWY,POWYS,
02/12/1991, 11:42:34.1,53.065,-4.249,7.8,0.2,7,0.1, , , PENYGROES,GWYNEDD,
25/04/1992, 20:10:58.1,52.96,-4.355,22.1,0.2,6,0.2, , , LLEYN PENINSULA,,
28/05/1994, 18:35:53.6,53.327,-4.308,17.1,0.2,6,0.1, , , ANGLESEY,GWYNEDD,
20/06/1995, 23:52:10.0,52.835,-4.336,21.7,0.2,8,0.1, , , PWLLHELI,GWYNEDD,
18/05/1997, 16:14:47.1,53.13,-4.37,16.6,0.2, , , , , CAERNARVON BAY,GWYNEDD,
09/07/1999, 06:19:44.8,53.098,-3.689,7.2,0.2, , , , , BETWS-Y-COED,GWYNEDD,
01/07/2002, 12:25:13.8,52.967,-4.392,21.4,0.2,8,0.1, , , LLEYN PENINSULA,GWYNED,
03/08/2003, 07:22:30.5,53.229,-3.712,13.6,0.2,8,0.1, , , CONWY,GWYNEDD,
19/11/2004, 13:06:23.9,53.29,-4.504,11.2,0.2,6,0.1, , , HOLYHEAD,ANGLESEY,
14/02/2007, 21:26:57.1,53.178,-4.365,8.8,0.2,5,0.1, , , CAERNARFON,GWYNEDD,
10/02/2015, 21:20:50.8,53.109,-3.155,4.2,0.2,4,0.3, , , MOLD,FLINTSHIRE,
23/02/2016, 02:03:01.0,52.943,-2.677,11.5,0.2,6,0.1, , , WHITCHURCH,SHROPSHIRE,
17/03/2016, 19:33:36.7,53.079,-4.222,8.5,0.2,4,0, , , Y FRON,GWYNEDD,
21/01/2018, 15:00:31.0,53.372,-4.462,6.6,0.2,5,0.1, , , LLANFECHELL,ANGLESEY,
11/04/2020, 17:53:53.2,53.389,-4.435,12.6,0.2,4,0.1, , , LLANFECHELL,ANGLESEY,
25/02/2023, 23:01:16.1,51.838,-3.246,5.2,0.2,2,0, , , BRYNMAWR,GWENT,
09/02/1984, 13:03:51.0,52.146,-3.161,18.7,0.3,5,0.1, , , PAINSCASTLE,POWYS,
31/07/1984, 09:01:21.0,51.634,-2.887,0.1,0.3,4,0.1, , , CWMBRAN,GWENT,
31/07/1984, 09:01:21.0,51.63,-2.89,0.1,0.3, , , , , CWMBRAN,GWENT,
07/01/1985, 19:57:34.3,52.973,-4.417,22.3,0.3,10,0.1, , , LLEYN PENIN, NW WALES,
21/06/1986, 12:39:58.4,52.321,-3.337,8.2,0.3,4,0.1, , , LLANDRINDOD WELLS,PWYS,
25/06/1986, 00:12:24.0,51.723,-3.068,18,0.3,3,0, , , ABERTILLERY,GWENT,
02/11/1986, 19:49:33.3,52.35,-3.142,9.9,0.3,3,0, , , KNIGHTON,POWYS,
02/06/1988, 21:45:28.1,51.71,-3.36,7.8,0.3,4,0.1, , , ABERDARE,MID GLAMORGAN,
01/08/1988, 08:22:34.6,52.041,-3.096,6,0.3,4,0.1, , , HAY-ON-WYE,HER & WORC,
04/08/1988, 19:15:11.8,52.02,-3.1,11.5,0.3, , , , , HAY-ON-WYE,HER & WORC,
17/09/1988, 19:44:21.6,52.767,-3.584,10.5,0.3,5,0.1, , , LAKE VYRNWY,POWYS,
27/07/1989, 11:53:21.1,52.098,-3.193,25,0.3,3,0, , , KINGTON,HER & WORC,
06/04/1990, 00:29:53.9,52.376,-2.748,7.6,0.3,3,0, , , MONTGOMERY,SHROPSHIRE,
29/04/1990, 05:52:37.2,52.451,-3.029,15.5,0.3,10,0.1, , , BISHOP'S CASTLE,SHROPS,
30/04/1990, 12:30:35.8,53.092,-3.688,15,0.3,8,0.2, , , BETWS-Y-COED,GWYNEDD,
08/04/1992, 16:00:47.4,52.933,-4.369,15.4,0.3,8,0.1, , , PWLLHELI,GWYNEDD,
18/02/1993, 05:14:20.9,52.881,-4.566,10,0.3,6,0.1, , , GARN,GWYNEDD,
01/08/1993, 13:40:38.7,53.279,-4.621,11.4,0.3,6,0.1, , , HOLY ISLAND,GWYNEDD,
27/11/1993, 19:56:06.5,53.132,-4.393,10.3,0.3,9,0.1, , , CAERNARVON BAY,GWYNEDD,
25/02/1994, 14:44:19.0,52.992,-3.889,8.4,0.3,7,0.1, , , BL.FFESTINIOG,GWYNEDD,
07/05/1995, 11:19:20.1,52.642,-4.315,12.9,0.3,5,0.2, , , CARDIGAN BAY,GWYNEDD,
02/07/1995, 20:38:50.6,53.09,-5.094,2.2,0.3,7,0.2, , , CAERNARFON BAY,,
01/08/1996, 11:01:32.9,53.359,-4.541,12.8,0.3, , , , , ANGLESEY,GWYNEDD,
14/03/1997, 02:22:09.3,53.032,-4.455,13.7,0.3, , , , , CAERNARVON BAY,GYWNEDD,
17/03/1997, 17:17:47.7,52.123,-2.646,13.4,0.3, , , , , HEREFORD,HER & WOR,
07/05/1997, 15:23:39.2,53.013,-4.194,16.6,0.3, , , , , PORTHMADOG,GWYNEDD,
22/06/1997, 13:36:21.8,53.256,-4.353,13.8,0.3, , , , , ANGLESEY,GWYNEDD,
31/10/1997, 00:01:37.4,52.961,-4.453,9.2,0.3, , , , , PWLLHELI,GWYNEDD,
13/12/1997, 21:44:38.2,52.835,-4.108,17.1,0.3, , , , , HARLECH,GWYNEDD,
06/04/1998, 21:23:17.7,52.977,-4.402,21.4,0.3, , , , , LLEYN,PENIN,GWYNEDD
07/07/1999, 00:49:08.3,53.099,-3.687,7.8,0.3, , , , , BETWS-Y-COED,GWYNEDD,
09/07/1999, 06:18:33.7,53.1,-3.685,8.6,0.3, , , , , BETWS-Y-COED,GWYNEDD,
20/03/2000, 08:50:41.3,53.217,-4.77,17.3,0.3, , , , , CAERNARVON BAY,GWYNEDD,
12/06/2000, 05:36:55.2,52.964,-4.391,24.4,0.3, , , , , LLEYN PENIN,GWYNEDD,
13/01/2001, 17:08:53.3,52.863,-3.759,11.9,0.3, , , , , BALA,GWYNEDD,
29/08/2002, 18:27:23.7,52.997,-4.961,15,0.3,8,0.1, , , CAERNARVON BAY,GWYNEDD,
08/04/2005, 03:54:29.7,53.134,-4.401,6.6,0.3,5,0.1, , , CAERNARFON BAY,,
18/03/2015, 23:43:50.8,53.412,-4.456,3.2,0.3,4,0, , , CEMAES,ANGLESEY,
01/11/2015, 03:07:04.3,52.91,-3.404,15.5,0.3,6,0.1, , , LLANDRILLO,DENBIGHSHIRE,
07/09/2016, 02:27:29.3,52.716,-2.511,8.4,0.3,5,0.3, , , WELLINGTON,SHROPSHIRE,
