yyyy.mm.dd,hh.mm.ss.ss,lat,lon,depth,ML,Nsta,RMS,intensity,induced,locality,county
22/06/1994, 22:16:50.3,51.63,-3.134,1.1769605439975797,0.5571304170878446,29.0,0.2, ,, ABERCARN,GWENT
17/08/1994, 23:50:50.7,51.697,-3.249,-1.3126580942218926,0.5571304170878446,24.0,0.2,3,, BARGOED,MID GLAMORGAN
29/03/1995, 18:05:08.0,51.774,-3.456,1.249123403076405,-0.8283649622490318,6.0,0.1, ,, MERTHYR TYDFIL,M GLAM
02/04/1995, 03:46:27.3,51.762,-3.734,0.43729123843962053,-0.3665331691367399,14.0,0.2, ,, NEATH,WEST GLAMORGAN
04/10/1995, 20:40:27.2,51.71,-4.144,0.5274948122881521,0.09529862397555236,,, ,, LLANELLI,DYFED
07/12/1995, 14:16:52.2,51.772,-4.173,1.1950012587672858,-0.05864530706187816,,, ,, LLANELLI,DYFED
18/11/1996, 00:03:56.4,51.766,-3.838,-0.3384594966577513,-0.9823088932864626,,, ,, GLANAMAN,DYFED
19/11/1997, 13:12:56.4,51.699,-4.243,2.2954848597193718,0.09529862397555236,,, ,, BURRY PORT,DYFED
23/11/1998, 13:43:34.8,51.701,-3.066,1.375408406464349,0.5571304170878446,,, ,, PONTYPOOL,GWENT
07/12/1998, 10:50:58.2,51.673,-3.2,0.05843622827578774,-0.3665331691367399,,, ,, BLACKWOOD,GWENT
25/12/1998, 08:49:44.1,51.809,-3.983,2.060955567713189,-0.21258923809930902,,, ,, AMMANFORD,DYFED
03/03/1999, 23:02:44.2,51.73,-3.259,-1.2765766646824799,-0.9823088932864626,,, ,, NEW TREDEGAR,MID GLAM
08/03/1999, 01:19:51.2,51.711,-3.304,-0.9338030840580598,-0.8283649622490318,,, ,, BEDLINOG,MID GLAMORGAN
18/03/1999, 02:38:22.1,51.714,-3.296,-0.9879252283671789,-0.8283649622490318,,, ,, BEDLINOG,MID GLAMORGAN
09/07/1999, 14:31:11.9,51.697,-3.219,-0.951843798827766,0.40318648605041374,,,3,, BARGOED,MID GLAMORGAN
30/07/1999, 09:31:12.3,51.689,-3.201,-0.17609306373039438,1.63473793434986,,, ,, BARGOED,MID GLAMORGAN
30/07/1999, 22:43:17.8,51.691,-3.188,-0.15805234896068812,-0.5204771001741704,,, ,, BARGOED,MID GLAMORGAN
31/07/1999, 07:33:48.5,51.695,-3.212,-0.013726630803037598,-0.8283649622490318,,, ,, BARGOED,MID GLAMORGAN
13/08/1999, 05:28:58.6,51.689,-3.215,0.004314083966668818,0.7110743481252755,,, ,, BARGOED,MID GLAMORGAN
20/01/2000, 14:10:51.0,51.614,-3.625,0.7259426747549216,0.24924255501298323,,, ,, MAESTEG,MID GLAMORGAN
22/03/2000, 01:35:09.1,51.684,-3.23,-1.1502916612945357,-0.3665331691367399,,, ,, BARGOED,MID GLAMORGAN
21/04/2001, 14:35:54.2,51.594,-3.301,1.718181987088769,0.40318648605041374,,, ,, PONTYPRIDD,GWENT
09/05/2001, 23:31:17.4,51.752,-3.735,2.4578512926467284,-0.6744210312116012,,, ,, YSTRADGYNLAIS,POWYS
16/09/2001, 02:44:31.4,51.742,-4.134,1.1047976849187542,0.24924255501298323,,, ,, LLANELLI,DYFED
10/10/2001, 02:52:25.3,51.698,-3.255,-0.15805234896068812,2.2505136584995826,,,4,, BARGOED,MID GLAMORGAN
10/10/2001, 05:01:48.0,51.7,-3.253,-0.374540926197164,-0.05864530706187816,,, ,, BARGOED,MID GLAMORGAN
18/10/2001, 03:50:13.6,51.703,-3.255,0.09451765781520041,1.3268500722749983,,,4,, BARGOED,MID GLAMORGAN
22/10/2001, 15:16:48.3,51.702,-3.254,0.040395513506081324,-0.05864530706187816,,, ,, BARGOED,MID GLAMORGAN
28/01/2002, 00:30:09.2,51.702,-3.258,-0.4106223557365766,0.09529862397555236,,, ,, BARGOED,MID GLAMORGAN
28/01/2002, 00:30:14.8,51.7,-3.257,-0.19413377850010077,1.3268500722749983,,, ,, BARGOED,MID GLAMORGAN
12/02/2002, 19:13:16.2,51.701,-3.256,-0.3925816409668702,2.096569727462152,11.0,0.1,4,, BARGOED,MID GLAMORGAN
17/02/2002, 15:44:06.7,51.706,-3.261,-0.8977216545186473,0.5571304170878446,10.0,0.1, ,, BARGOED,MID GLAMORGAN
24/02/2002, 23:18:35.4,51.7,-3.272,-0.7533959363609966,0.09529862397555236,9.0,0.1, ,, BARGOED,MID GLAMORGAN
16/03/2002, 05:07:14.7,51.702,-3.266,-0.9338030840580598,-0.3665331691367399,7.0,0.1, ,, BARGOED,MID GLAMORGAN
04/04/2002, 08:45:46.8,51.662,-3.402,0.11255837258490667,-0.21258923809930902,6.0,0.1, ,, MOUNTAIN ASH,MID GLAMO
